        closure #1 in closure #2 in closure #1 in VoiceToMorseView.mainInterface.getter                             0.00% (0/11)     
        closure #1 in closure #1 in closure #2 in closure #1 in VoiceToMorseView.mainInterface.getter               0.00% (0/4)      
        closure #2 in closure #2 in closure #1 in VoiceToMorseView.mainInterface.getter                             0.00% (0/4)      
        closure #3 in closure #1 in VoiceToMorseView.mainInterface.getter                                           0.00% (0/30)     
        closure #1 in closure #3 in closure #1 in VoiceToMorseView.mainInterface.getter                             0.00% (0/18)     
        closure #1 in closure #1 in closure #3 in closure #1 in VoiceToMorseView.mainInterface.getter               0.00% (0/13)     
        closure #1 in closure #1 in closure #1 in closure #3 in closure #1 in VoiceToMorseView.mainInterface.getter 0.00% (0/3)      
        closure #2 in closure #1 in closure #1 in closure #3 in closure #1 in VoiceToMorseView.mainInterface.getter 0.00% (0/3)      
        closure #2 in closure #3 in closure #1 in VoiceToMorseView.mainInterface.getter                             0.00% (0/8)      
        VoiceToMorseView.permissionRequestInterface.getter                                                          0.00% (0/43)     
        closure #1 in VoiceToMorseView.permissionRequestInterface.getter                                            0.00% (0/41)     
        closure #1 in closure #1 in VoiceToMorseView.permissionRequestInterface.getter                              0.00% (0/15)     
        closure #2 in closure #1 in VoiceToMorseView.permissionRequestInterface.getter                              0.00% (0/19)     
        closure #1 in closure #2 in closure #1 in VoiceToMorseView.permissionRequestInterface.getter                0.00% (0/3)      
        closure #2 in closure #2 in closure #1 in VoiceToMorseView.permissionRequestInterface.getter                0.00% (0/3)      
        VoiceToMorseView.isSpeechRecognitionAvailable.getter                                                        0.00% (0/3)      
        implicit closure #1 in VoiceToMorseView.isSpeechRecognitionAvailable.getter                                 0.00% (0/1)      
        VoiceToMorseView.isMicrophonePermissionGranted.getter                                                       0.00% (0/3)      
        VoiceToMorseView.checkPermissions()                                                                         0.00% (0/14)     
        VoiceToMorseView.requestPermissions()                                                                       0.00% (0/21)     
        closure #1 in VoiceToMorseView.requestPermissions()                                                         0.00% (0/15)     
        closure #1 in closure #1 in VoiceToMorseView.requestPermissions()                                           0.00% (0/13)     
        VoiceToMorseView.toggleRecording()                                                                          0.00% (0/7)      
        VoiceToMorseView.startRecording()                                                                           0.00% (0/50)     
        closure #1 in VoiceToMorseView.startRecording()                                                             0.00% (0/3)      
        closure #2 in VoiceToMorseView.startRecording()                                                             0.00% (0/4)      
        closure #3 in VoiceToMorseView.startRecording()                                                             0.00% (0/13)     
        closure #1 in closure #3 in VoiceToMorseView.startRecording()                                               0.00% (0/11)     
        closure #4 in VoiceToMorseView.startRecording()                                                             0.00% (0/3)      
        VoiceToMorseView.stopRecording()                                                                            0.00% (0/13)     
        closure #1 in VoiceToMorseView.stopRecording()                                                              0.00% (0/5)      
        VoiceToMorseView.convertToMorse()                                                                           0.00% (0/12)     
        VoiceToMorseView.copyToClipboard(_:)                                                                        0.00% (0/4)      
        VoiceToMorseView.openSettings()                                                                             0.00% (0/3)      

